   ,DIST_CODE,DIST_NAME,CITY
500,150823,乌拉特前旗,巴彦淖尔市
501,150824,乌拉特中旗,巴彦淖尔市
502,150825,乌拉特后旗,巴彦淖尔市
503,150826,杭锦后旗,巴彦淖尔市
504,150900,乌兰察布市,乌兰察布市
505,150901,市辖区,市辖区
506,150902,集宁区,乌兰察布市
507,150921,卓资县,乌兰察布市
508,150922,化德县,乌兰察布市
509,150923,商都县,乌兰察布市
510,150924,兴和县,乌兰察布市
511,150925,凉城县,乌兰察布市
512,150926,察哈尔右翼前旗,乌兰察布市
513,150927,察哈尔右翼中旗,乌兰察布市
514,150928,察哈尔右翼后旗,乌兰察布市
515,150929,四子王旗,乌兰察布市
516,150981,丰镇市,乌兰察布市
517,152200,兴安盟,兴安盟
518,152201,乌兰浩特市,兴安盟
519,152202,阿尔山市,兴安盟
520,152221,科尔沁右翼前旗,兴安盟
521,152222,科尔沁右翼中旗,兴安盟
522,152223,扎赉特旗,兴安盟
523,152224,突泉县,兴安盟
524,152500,锡林郭勒盟,锡林郭勒盟
525,152501,二连浩特市,锡林郭勒盟
526,152502,锡林浩特市,锡林郭勒盟
527,152522,阿巴嘎旗,锡林郭勒盟
528,152523,苏尼特左旗,锡林郭勒盟
529,152524,苏尼特右旗,锡林郭勒盟
530,152525,东乌珠穆沁旗,锡林郭勒盟
531,152526,西乌珠穆沁旗,锡林郭勒盟
532,152527,太仆寺旗,锡林郭勒盟
533,152528,镶黄旗,锡林郭勒盟
534,152529,正镶白旗,锡林郭勒盟
535,152530,正蓝旗,锡林郭勒盟
536,152531,多伦县,锡林郭勒盟
537,152900,阿拉善盟,阿拉善盟
538,152921,阿拉善左旗,阿拉善盟
539,152922,阿拉善右旗,阿拉善盟
540,152923,额济纳旗,阿拉善盟
541,210000,辽宁省,辽宁省
542,210100,沈阳市,沈阳市
543,210101,市辖区,市辖区
544,210102,和平区,沈阳市
545,210103,沈河区,沈阳市
546,210104,大东区,沈阳市
547,210105,皇姑区,沈阳市
548,210106,铁西区,沈阳市
549,210111,苏家屯区,沈阳市
550,210112,浑南区,沈阳市
551,210113,沈北新区,沈阳市
552,210114,于洪区,沈阳市
553,210115,辽中区,沈阳市
554,210122,辽中县,辽中县
555,210123,康平县,沈阳市
556,210124,法库县,沈阳市
557,210181,新民市,沈阳市
558,210200,大连市,大连市
559,210201,市辖区,市辖区
560,210202,中山区,大连市
561,210203,西岗区,大连市
562,210204,沙河口区,大连市
563,210211,甘井子区,大连市
564,210212,旅顺口区,大连市
565,210213,金州区,大连市
566,210214,普兰店区,大连市
567,210224,长海县,大连市
568,210281,瓦房店市,大连市
569,210282,普兰店市,普兰店市
570,210283,庄河市,大连市
571,210300,鞍山市,鞍山市
572,210301,市辖区,市辖区
573,210302,铁东区,鞍山市
574,210303,铁西区,鞍山市
575,210304,立山区,鞍山市
576,210311,千山区,鞍山市
577,210321,台安县,鞍山市
578,210323,岫岩满族自治县,鞍山市
579,210381,海城市,鞍山市
580,210400,抚顺市,抚顺市
581,210401,市辖区,市辖区
582,210402,新抚区,抚顺市
583,210403,东洲区,抚顺市
584,210404,望花区,抚顺市
585,210411,顺城区,抚顺市
586,210421,抚顺县,抚顺市
587,210422,新宾满族自治县,抚顺市
588,210423,清原满族自治县,抚顺市
589,210500,本溪市,本溪市
590,210501,市辖区,市辖区
591,210502,平山区,本溪市
592,210503,溪湖区,本溪市
593,210504,明山区,本溪市
594,210505,南芬区,本溪市
595,210521,本溪满族自治县,本溪市
596,210522,桓仁满族自治县,本溪市
597,210600,丹东市,丹东市
598,210601,市辖区,市辖区
599,210602,元宝区,丹东市
600,210603,振兴区,丹东市
601,210604,振安区,丹东市
602,210624,宽甸满族自治县,丹东市
603,210681,东港市,丹东市
604,210682,凤城市,丹东市
605,210700,锦州市,锦州市
606,210701,市辖区,市辖区
607,210702,古塔区,锦州市
608,210703,凌河区,锦州市
609,210711,太和区,锦州市
610,210726,黑山县,锦州市
611,210727,义县,锦州市
612,210781,凌海市,锦州市
613,210782,北镇市,锦州市
614,210800,营口市,营口市
615,210801,市辖区,市辖区
616,210802,站前区,营口市
617,210803,西市区,营口市
618,210804,鲅鱼圈区,营口市
619,210811,老边区,营口市
620,210881,盖州市,营口市
621,210882,大石桥市,营口市
622,210900,阜新市,阜新市
623,210901,市辖区,市辖区
624,210902,海州区,阜新市
625,210903,新邱区,阜新市
626,210904,太平区,阜新市
627,210905,清河门区,阜新市
628,210911,细河区,阜新市
629,210921,阜新蒙古族自治县,阜新市
